region_code,id,full_name,name1,name2,name3
가야곡면-2376,2376,충청남도 논산시 가야곡면,충청남도,논산시,가야곡면
노성면-2370,2370,충청남도 논산시 노성면,충청남도,논산시,노성면
채운면-2378,2378,충청남도 논산시 채운면,충청남도,논산시,채운면
벌곡면-2374,2374,충청남도 논산시 벌곡면,충청남도,논산시,벌곡면
관촉동-7041,7041,충청남도 논산시 관촉동,충청남도,논산시,관촉동
지산동-7047,7047,충청남도 논산시 지산동,충청남도,논산시,지산동
등화동-7045,7045,충청남도 논산시 등화동,충청남도,논산시,등화동
덕지동-7044,7044,충청남도 논산시 덕지동,충청남도,논산시,덕지동
엄사면-2383,2383,충청남도 계룡시 엄사면,충청남도,계룡시,엄사면
금암동-2385,2385,충청남도 계룡시 금암동,충청남도,계룡시,금암동
두마면-2382,2382,충청남도 계룡시 두마면,충청남도,계룡시,두마면
신도안면-2384,2384,충청남도 계룡시 신도안면,충청남도,계룡시,신도안면
송악읍-2388,2388,충청남도 당진시 송악읍,충청남도,당진시,송악읍
읍내동-7057,7057,충청남도 당진시 읍내동,충청남도,당진시,읍내동
수청동-7052,7052,충청남도 당진시 수청동,충청남도,당진시,수청동
송산면-2397,2397,충청남도 당진시 송산면,충청남도,당진시,송산면
신평면-2396,2396,충청남도 당진시 신평면,충청남도,당진시,신평면
당진1동-2398,2398,충청남도 당진시 당진1동,충청남도,당진시,당진1동
채운동-7058,7058,충청남도 당진시 채운동,충청남도,당진시,채운동
합덕읍-2387,2387,충청남도 당진시 합덕읍,충청남도,당진시,합덕읍
원당동-7056,7056,충청남도 당진시 원당동,충청남도,당진시,원당동
석문면-2390,2390,충청남도 당진시 석문면,충청남도,당진시,석문면
당진3동-2400,2400,충청남도 당진시 당진3동,충청남도,당진시,당진3동
대덕동-7050,7050,충청남도 당진시 대덕동,충청남도,당진시,대덕동
당진2동-2399,2399,충청남도 당진시 당진2동,충청남도,당진시,당진2동
순성면-2394,2394,충청남도 당진시 순성면,충청남도,당진시,순성면
시곡동-7053,7053,충청남도 당진시 시곡동,충청남도,당진시,시곡동
